cluster_id,cluster_label,faulttype,subcategory,faultcause,ticket_count
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive-poor experience modem performance,Proactive,Auto close by BOT,4985
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive-poor experience modem performance,Proactive,ไม่ทราบสาเหตุ,237
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive-poor experience modem performance,Proactive,Monitor เหตุเสียครบตามเงื่อนไข,40
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive poor experience link loss,Proactive,Monitor เหตุเสียครบตามเงื่อนไข,16
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive-poor experience modem performance,Proactive,เหตุเสียใช้ได้ ก่อนช่างถึงบ้าน,16
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive poor experience link loss,Proactive,Reboot,15
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive poor experience link loss,Proactive,เหตุเสียใช้ได้ ก่อนช่างถึงบ้าน,14
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive poor experience link loss,Proactive,ขัดข้อง/เสีย,14
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive poor experience link loss,Proactive,สายหัก/สายงอ/สายถูกดึงรั้ง,12
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive poor experience link loss,Proactive,ทดสอบและอธิบายลูกค้า,10
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive poor experience link loss,Proactive,หัวสายสำเร็จSC-APC เสีย,9
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive poor experience link loss,Proactive,ลูกค้าเปลี่ยนใจ/ลูกค้าขอยกเลิกบริการเอง,9
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive poor experience link loss,Proactive,CONFIG CHANGE,7
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive poor experience link loss,Proactive,Modemไม่ lock/ไม่ Synch/High Loss,7
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive poor experience link loss,Proactive,การใช้งานของลูกค้า,6
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive-poor experience modem performance,Proactive,ลูกค้าเปลี่ยนใจ/ลูกค้าขอยกเลิกบริการเอง,6
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive poor experience link loss,Proactive,ลูกค้าต้องการเปลี่ยน Modem,5
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive poor experience link loss,Proactive,หัวสายสำเร็จSC-APC หลวม /ไม่สนิท,4
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive poor experience link loss,Proactive,มีค่า Loss สูง,4
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive poor experience link loss,Proactive,ไฟไม่เข้า,3
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive poor experience link loss,Proactive,Area Manager เห็นชอบให้มีการเปลี่ยน CPE,3
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive poor experience link loss,Proactive,Auto close by BOT,3
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive-poor experience modem performance,Proactive,ลูกค้าแจ้งเสีย (เปิด Reactive Ticket),3
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive poor experience link loss,Proactive,ลูกค้าแจ้งเสีย (เปิด Reactive Ticket),2
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive poor experience link loss,Proactive,ไม่ทราบสาเหตุ,2
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive poor experience link loss,Proactive,ลูกค้าแจ้งขอยกเลิกบริการ,2
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive-poor experience modem performance,Proactive,การใช้งานของลูกค้า,2
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive Rehome,Proactive,Modemไม่ lock/ไม่ Synch/High Loss,2
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive poor experience link loss,Proactive,"ลูกค้าไม่สะดวก (ไม่อยู่บ้าน,ไม่แจ้งเหตุผล)",1
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive poor experience link loss,Proactive,หัวสายสำเร็จSC-APC สกปรก,1
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive poor experience link loss,Proactive,สายไม่เป็นระเบียบ,1
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive poor experience link loss,Proactive,Ticket มีการระบุให้เปลี่ยนอุปกรณ์,1
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive poor experience link loss,Proactive,อุปกรณ์คืนค่าโรงงาน,1
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive poor experience link loss,Proactive,มีเสียงผิดปกติในตัวโมเด็ม,1
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive poor experience link loss,Proactive,ไม่มีสัญญาณ CATV หรือ ค่า RF ไม่ได้ตามค่ามาตรฐาน,1
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive poor experience link loss,Proactive,ไม่ตรงรุ่น,1
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive poor experience link loss,Proactive,BUG FIRMWARE,1
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive poor experience link loss,Proactive,LAN เสีย,1
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive-poor experience modem performance,Proactive,อุปกรณ์คืนค่าโรงงาน,1
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive-poor experience modem performance,Proactive,สายหัก/สายงอ/สายถูกดึงรั้ง,1
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive-poor experience modem performance,Proactive,CONFIG CHANGE/BUG FIRMWARE,1
0,Proactive poor experience link loss | Proactive | เหตุเสียใช,Proactive-poor experience modem performance,Proactive,การไฟฟ้าย้ายแนว/จัดระเบียบสาย,1
1,Cloud CCTV-ดูย้อนหลังไม่ได้ | IOT-ปัญหาการใช้งาน | การใช้งาน,Cloud CCTV-ดูกล้องจาก Live View ไม่ได้,IOT-ปัญหาการใช้งาน,การใช้งานของลูกค้า,7439
1,Cloud CCTV-ดูย้อนหลังไม่ได้ | IOT-ปัญหาการใช้งาน | การใช้งาน,Cloud CCTV-ดูย้อนหลังไม่ได้,IOT-ปัญหาการใช้งาน,การใช้งานของลูกค้า,4810
1,Cloud CCTV-ดูย้อนหลังไม่ได้ | IOT-ปัญหาการใช้งาน | การใช้งาน,Cloud CCTV-ดูกล้องจาก Live View ไม่ได้,IOT-ปัญหาการใช้งาน,Monitor เหตุเสียครบตามเงื่อนไข,702
1,Cloud CCTV-ดูย้อนหลังไม่ได้ | IOT-ปัญหาการใช้งาน | การใช้งาน,Cloud CCTV-ดูย้อนหลังไม่ได้,IOT-ปัญหาการใช้งาน,Monitor เหตุเสียครบตามเงื่อนไข,535
1,Cloud CCTV-ดูย้อนหลังไม่ได้ | IOT-ปัญหาการใช้งาน | การใช้งาน,Cloud CCTV-ดูกล้องจาก Live View ไม่ได้,IOT-ปัญหาการใช้งาน,ไม่ทราบสาเหตุ,506
1,Cloud CCTV-ดูย้อนหลังไม่ได้ | IOT-ปัญหาการใช้งาน | การใช้งาน,Cloud CCTV-ดูกล้องจาก Live View ไม่ได้,IOT-ปัญหาการใช้งาน,ส่งงานไม่ถูกต้อง,284
1,Cloud CCTV-ดูย้อนหลังไม่ได้ | IOT-ปัญหาการใช้งาน | การใช้งาน,Cloud CCTV-ดูย้อนหลังไม่ได้,IOT-ปัญหาการใช้งาน,ไม่ทราบสาเหตุ,283
1,Cloud CCTV-ดูย้อนหลังไม่ได้ | IOT-ปัญหาการใช้งาน | การใช้งาน,Cloud CCTV-ดูย้อนหลังไม่ได้,IOT-ปัญหาการใช้งาน,ส่งงานไม่ถูกต้อง,262
1,Cloud CCTV-ดูย้อนหลังไม่ได้ | IOT-ปัญหาการใช้งาน | การใช้งาน,Cloud CCTV-ดูกล้องจาก Live View ไม่ได้,IOT-ปัญหาการใช้งาน,CONFIG.PARAMETER ไม่ถูกต้อง,100
1,Cloud CCTV-ดูย้อนหลังไม่ได้ | IOT-ปัญหาการใช้งาน | การใช้งาน,Cloud CCTV-ดูกล้องจาก Live View ไม่ได้,IOT-ปัญหาการใช้งาน,ลูกค้าเปลี่ยนใจ/ลูกค้าขอยกเลิกบริการเอง,87
1,Cloud CCTV-ดูย้อนหลังไม่ได้ | IOT-ปัญหาการใช้งาน | การใช้งาน,ปัญหาอุปกรณ์กล้อง CCTV,แจ้งเสีย IOT,,41
1,Cloud CCTV-ดูย้อนหลังไม่ได้ | IOT-ปัญหาการใช้งาน | การใช้งาน,Cloud CCTV-ดูย้อนหลังไม่ได้,IOT-ปัญหาการใช้งาน,ลูกค้าเปลี่ยนใจ/ลูกค้าขอยกเลิกบริการเอง,37
1,Cloud CCTV-ดูย้อนหลังไม่ได้ | IOT-ปัญหาการใช้งาน | การใช้งาน,Cloud CCTV-ดูย้อนหลังไม่ได้,IOT-ปัญหาการใช้งาน,CONFIG.PARAMETER ไม่ถูกต้อง,37
1,Cloud CCTV-ดูย้อนหลังไม่ได้ | IOT-ปัญหาการใช้งาน | การใช้งาน,Cloud CCTV-ดูกล้องจาก Live View ไม่ได้,IOT-ปัญหาการใช้งาน,เหตุเสียใช้ได้ ก่อนช่างถึงบ้าน,27
1,Cloud CCTV-ดูย้อนหลังไม่ได้ | IOT-ปัญหาการใช้งาน | การใช้งาน,Cloud CCTV-ดูกล้องจาก Live View ไม่ได้,IOT-ปัญหาการใช้งาน,ขัดข้อง/เสีย,24
1,Cloud CCTV-ดูย้อนหลังไม่ได้ | IOT-ปัญหาการใช้งาน | การใช้งาน,Cloud CCTV-ดูย้อนหลังไม่ได้,IOT-ปัญหาการใช้งาน,เหตุเสียใช้ได้ ก่อนช่างถึงบ้าน,18
1,Cloud CCTV-ดูย้อนหลังไม่ได้ | IOT-ปัญหาการใช้งาน | การใช้งาน,Cloud CCTV-ดูกล้องจาก Live View ไม่ได้,IOT-ปัญหาการใช้งาน,Costomer Knowledge,14
1,Cloud CCTV-ดูย้อนหลังไม่ได้ | IOT-ปัญหาการใช้งาน | การใช้งาน,Cloud CCTV-ดูย้อนหลังไม่ได้,IOT-ปัญหาการใช้งาน,ไม่พบปัญหาการใช้งานแล้ว,10
1,Cloud CCTV-ดูย้อนหลังไม่ได้ | IOT-ปัญหาการใช้งาน | การใช้งาน,Cloud CCTV-ดูย้อนหลังไม่ได้,IOT-ปัญหาการใช้งาน,Costomer Knowledge,4
1,Cloud CCTV-ดูย้อนหลังไม่ได้ | IOT-ปัญหาการใช้งาน | การใช้งาน,Cloud CCTV-ดูกล้องจาก Live View ไม่ได้,IOT-ปัญหาการใช้งาน,ทดสอบและอธิบายลูกค้า,4
1,Cloud CCTV-ดูย้อนหลังไม่ได้ | IOT-ปัญหาการใช้งาน | การใช้งาน,Cloud CCTV-ดูย้อนหลังไม่ได้,IOT-ปัญหาการใช้งาน,ขัดข้อง/เสีย,3
1,Cloud CCTV-ดูย้อนหลังไม่ได้ | IOT-ปัญหาการใช้งาน | การใช้งาน,Cloud CCTV-ดูกล้องจาก Live View ไม่ได้,IOT-ปัญหาการใช้งาน,ไม่พบปัญหาการใช้งานแล้ว,3
1,Cloud CCTV-ดูย้อนหลังไม่ได้ | IOT-ปัญหาการใช้งาน | การใช้งาน,Cloud CCTV-ดูกล้องจาก Live View ไม่ได้,IOT-ปัญหาการใช้งาน,พบปัญหาใหม่,3
1,Cloud CCTV-ดูย้อนหลังไม่ได้ | IOT-ปัญหาการใช้งาน | การใช้งาน,Cloud CCTV-ดูกล้องจาก Live View ไม่ได้,IOT-ปัญหาการใช้งาน,สายหัก/สายงอ/สายถูกดึงรั้ง,2
1,Cloud CCTV-ดูย้อนหลังไม่ได้ | IOT-ปัญหาการใช้งาน | การใช้งาน,Cloud CCTV-ดูกล้องจาก Live View ไม่ได้,IOT-ปัญหาการใช้งาน,CONFIG CHANGE,2
1,Cloud CCTV-ดูย้อนหลังไม่ได้ | IOT-ปัญหาการใช้งาน | การใช้งาน,Cloud CCTV-ดูย้อนหลังไม่ได้,IOT-ปัญหาการใช้งาน,พบปัญหาใหม่,2
1,Cloud CCTV-ดูย้อนหลังไม่ได้ | IOT-ปัญหาการใช้งาน | การใช้งาน,Cloud CCTV-ดูกล้องจาก Live View ไม่ได้,IOT-ปัญหาการใช้งาน,ลูกค้าแจ้งขอยกเลิกบริการ,2
1,Cloud CCTV-ดูย้อนหลังไม่ได้ | IOT-ปัญหาการใช้งาน | การใช้งาน,Cloud CCTV-ดูย้อนหลังไม่ได้,IOT-ปัญหาการใช้งาน,เปลี่ยน process การทำงาน,2
1,Cloud CCTV-ดูย้อนหลังไม่ได้ | IOT-ปัญหาการใช้งาน | การใช้งาน,Cloud CCTV-ดูกล้องจาก Live View ไม่ได้,IOT-ปัญหาการใช้งาน,Connect WiFi ไม่ได้/ไม่พบ SSID,2
