label,precision,recall,f1_score,support,predictions,errors
CA14: กล่องของท่านไม่เชื่อมต่อสัญญาณ | TVS-ปัญหาสัญญาณ | ขัด,0.931,0.9643,0.9474,28,29,1
CA2: สมาร์ทการ์ดไม่ถูกต้อง(สมาร์ทการ์ดขัดข้องหรือสกปรก) | TV,1.0,1.0,1.0,28,28,0
CA4: ช่องนี้ไม่รวมอยู่ในแพ็กเกจ | TVS-ปัญหาสัญญาณ | เปลี่ยน ,1.0,0.5,0.6667,28,14,14
Cloud CCTV-ดูย้อนหลังไม่ได้ | IOT-ปัญหาการใช้งาน | การใช้งาน,1.0,1.0,1.0,28,28,0
ER16: ไม่พบสัญญาณ | TVS-ปัญหาสัญญาณ | ข้อต่อหลวม ไม่ดี/ไม่สน,0.8438,0.9643,0.9,28,32,1
Mesh Wifi ไฟไม่ติด | Internet เชื่อมต่อไม่ได้ | ลูกค้าต้องกา,0.9655,1.0,0.9825,28,29,0
Preventive Dropwire Connector SC-APC L2 | คุณภาพสัญญาน | มีค,0.7368,1.0,0.8485,28,38,0
Preventive Dropwire สายตกหย่อน | คุณภาพสัญญาน | ไม่ทราบสาเหต,1.0,0.7143,0.8333,28,20,8
Proactive - Change Power Adaptor | คุณภาพสัญญาน | หัวสายสำเร,1.0,1.0,1.0,28,28,0
Proactive - Fiber degrade | Proactive | เหตุเสียใช้ได้ ก่อนช,1.0,0.6786,0.8085,28,19,9
Proactive - PPPOE หลุดบ่อย | Proactive | การใช้งานของลูกค้า,1.0,1.0,1.0,28,28,0
Proactive -monitor หลังปิดงาน Network event | Proactive | Mo,1.0,1.0,1.0,28,28,0
Proactive Inspection  Dropwire | Proactive | Project Inspect,0.7,1.0,0.8235,28,40,0
Proactive ensure Fault ค่าสัญญาณดี | Proactive | Sync Speed/,1.0,0.4643,0.6341,28,13,15
Proactive ensure Fault ค่าสัญญาณดี | Proactive | ไม่พบปัญหาก,0.7179,1.0,0.8358,28,39,0
Proactive fiber poor after install/repair | Proactive | ขัดข,0.7778,1.0,0.875,28,36,0
Proactive monitor หลังปิดงานซ่อม | คุณภาพสัญญาน | ไม่ทราบสาเ,0.9655,1.0,0.9825,28,29,0
Proactive poor experience link loss | Proactive | เหตุเสียใช,1.0,0.0714,0.1333,28,2,26
Proactive poor experience outside plant | Proactive | สายหัก,0.5185,1.0,0.6829,28,54,0
Proactive-Change ONT | Proactive | Monitor เหตุเสียครบตามเงื,0.0,0.0,0.0,28,0,28
Proactive-Change ONT | Proactive | Wi-fi 2.4G ไม่รองรับ Spee,1.0,0.6786,0.8085,28,19,9
Proactive-Change ONT | Proactive | ลูกค้าต้องการเปลี่ยน Mode,0.5192,0.9643,0.675,28,52,1
Proactive-Fiber broken | Proactive | เหตุเสียใช้ได้ ก่อนช่าง,0.8333,0.7143,0.7692,28,24,8
Remote Trueid TV หาย / ชำรุด | บริการหลังการขาย | การใช้งานข,1.0,1.0,1.0,28,28,0
Retention Fault | คุณภาพสัญญาน | Monitor เหตุเสียครบตามเงื่อ,0.875,1.0,0.9333,28,32,0
Set-top box หาย/ชำรุด (ยกเว้นค่าปรับ) | บริการหลังการขาย | ไ,0.9655,1.0,0.9825,28,29,0
กล่อง Set top boxขัดข้อง | CMDU-ปัญหาอุปกรณ์ | Remote ไม่ทำง,0.451,0.8214,0.5823,28,51,5
กล่อง Set top boxขัดข้อง | TVS-ปัญหาอุปกรณ์ | CONFIG CHANGE,0.5,0.0357,0.0667,28,2,27
ขอช่างติดตั้งกล้องCCTVฟรี -ช่างนำกล้องไปติดตั้ง | บริการหลัง,1.0,1.0,1.0,28,28,0
ขอช่างเข้าซ่อม (กลุ่มลูกค้าร้องเรียน) | IOT-ขอบริการงานช่าง ,0.9259,0.8929,0.9091,28,27,3
ขอช่างเข้าซ่อม 1-4อุปกรณ์ เก็บค่าบริการ 770บาท (รวมVAT) | IO,1.0,0.9643,0.9818,28,27,1
ขอบริการหลังการขาย-ช่าง App Line | บริการหลังการขาย | เหตุเส,0.7778,1.0,0.875,28,36,0
ขอบริการเปลี่ยน Remote | บริการหลังการขาย | ขัดข้อง/เสีย,0.8235,1.0,0.9032,28,34,0
ขอเปลี่ยน Mesh(T626PRO) เพื่อรองรับเฉพาะ AI Package | บริการ,0.9259,0.8929,0.9091,28,27,3
ขอเปลี่ยน Router Converter | บริการหลังการขาย | ลูกค้าต้องกา,0.8,1.0,0.8889,28,35,0
ขึ้น SCAN/ปัญหาการ Download | TVS-ปัญหาสัญญาณ | ไฟไม่เข้า,1.0,1.0,1.0,28,28,0
